"Name","Smith","Gender","Country","Occupation","Birth year","Death year","Age",""
"M. C. Escher","Smith","Male","Kingdom of the Netherlands","Artist","1898","1972","74",""
"Corazon Aquino","Smith","Female","Philippines","Politician","1933","2009","76",""
"Robert Brasillach","Smith","Male","France","Artist","1909","1945","36",""
"Ferdinand Magellan","Smith","Male","Kingdom of Portugal","Explorer","1480","1521","41",""
"JosÃ© Rizal","Smith","Male","Philippines","Researcher","1861","1896","35",""
"Manuel L. Quezon","Smith","Male","Philippines","Politician","1878","1944","66",""
"Richard Wagner","Smith","Male","Germany","Artist","1813","1883","70",""
"Robert Louis Stevenson","Smith","Male","United Kingdom of Great Britain and Ireland","Artist","1850","1894","44",""
"Janis Joplin","Smith","Female","United States of America","Artist","1943","1970","27",""
"Ramesses II","Smith","Male","Ancient Egypt","Statesperson","-1303","-1213","90",""
"Ramesses III","Smith","Male","Ancient Egypt","Sovereign","-1217","-1155","62",""
"Ramesses IV","Smith","Male","Ancient Egypt","Statesperson","-1200","-1149","51",""
"Tony Garnier","Smith","Male","France","Architect","1869","1948","79",""
"Georg Simon Ohm","Smith","Male","Germany; Kingdom of Bavaria","Researcher","1789","1854","65",""
"Luigi Galvani","Smith","Male","Papal States","Researcher","1737","1798","61",""
"Neil Armstrong","Smith","Male","United States of America","Teacher","1930","2012","82",""
"Charles Lindbergh","Smith","Male","United States of America","Artist","1902","1974","72",""
"Sigfrid EdstrÃ¶m","Smith","Male","Sweden","Athlete","1870","1964","94",""
"David Cecil, 6th Marquess of Exeter","Smith","Male","United Kingdom","Athlete","1905","1981","76",""
"Ã‰dith Piaf","Smith","Female","France","Artist","1915","1963","48",""
"Adriaan Paulen","Smith","Male","Kingdom of the Netherlands","Athlete","1902","1985","83",""
"Primo Nebiolo","Smith","Male","Italy; Kingdom of Italy","Athlete","1923","1999","76",""
"FranÃ§oise Sagan","Smith","Female","France","Artist","1935","2004","69",""
"Jacques Brel","Smith","Male","Belgium","Artist","1929","1978","49",""
"Serge Gainsbourg","Smith","Male","France","Artist","1928","1991","63",""
"Ella Fitzgerald","Smith","Female","United States of America","Artist","1917","1996","79",""
"Brownie Mary","Smith","Female","United States of America","Activist","1922","1999","77",""
"Louis Armstrong","Smith","Male","United States of America","Artist","1900","1971","71",""
"Charles Aznavour","Smith","Male","France; Armenia","Artist","1924","2018","94",""
"Jan I Carondelet","Smith","Male","Burgundian Netherlands","Politician","1428","1502","74",""
"Claude I Carondelet","Smith","Male","France","Aristocrat","1467","1518","51",""
"Jan II Carondelet","Smith","Male","Burgundian Netherlands","Politician","1469","1544","75",""
"Ferry Carondelet","Smith","Male","","Politician","1473","1528","55",""
"Daniel Balavoine","Smith","Male","France","Artist","1952","1986","34",""
"Barbara","Smith","Female","France","Artist","1930","1997","67",""
"Paul Otlet","Smith","Male","Belgium","Researcher","1868","1944","76",""
"Stanley Kubrick","Smith","Male","United States of America","Athlete","1928","1999","71",""
"Cesare Pavese","Smith","Male","Italy; Kingdom of Italy","Researcher","1908","1950","42",""
"FranÃ§ois Mitterrand","Smith","Male","France","Politician","1916","1996","80",""
"Giuseppe Farina","Smith","Male","Italy; Kingdom of Italy","Racing automobile driver","1906","1966","60",""
"Charles de Gaulle","Smith","Male","France","Politician","1890","1970","80",""
"Juan Manuel Fangio","Smith","Male","Argentina","Entrepreneur","1911","1995","84",""
"Alberto Ascari","Smith","Male","Italy; Kingdom of Italy","Motorcycle racer; formula one driver","1918","1955","37",""
"Mike Hawthorn","Smith","Male","United Kingdom","Formula one driver","1929","1959","30",""
"Jacques Chirac","Smith","Male","France","Politician","1932","2019","87",""
"Hans Schmidt","Smith","Male","Germany","Artist","1854","1923","69",""
"ValÃ©ry Giscard d'Estaing","Smith","Male","France","Statesperson","1926","2020","94",""
"Jack Brabham","Smith","Male","Australia","Athlete","1926","2014","88",""
"Georges Pompidou","Smith","Male","France","Politician","1911","1974","63",""
"Coluche","Smith","Male","France","Artist","1944","1986","42",""
"Pierre Desproges","Smith","Male","France","Artist","1939","1988","49",""
"Chet Baker","Smith","Male","United States of America","Artist","1929","1988","59",""
